BNK Capital Markets Limited,4138.0
Deputy Commissioner  Aizawl,935.0
Deputy Commissioner Kolasib,575.0
District IT Society Bhiwani,106.0
District IT Society Gurgaon,231.0
District IT Society Jhajjar,43.0
District IT Society Kaithal,71.0
District IT Society Panipat,188.0
District IT Society Sonipat,101.0
Ecartes Technology Pvt. Ltd,1594.0
Excel Technovation Pvt. Ltd,3.0
Jilla E-Seva Society Rajkot,617.0
Jilla E-Seva Society Valsad,821.0
Nevaeh Technology Pvt. Ltd.,979.0
Promind Solutions P Limited,1779.0
Sarvalabh Global Foundation,3089.0
Surat Municipal Corporation,90.0
Vakrangee Softwares Limited,4055.0
Wedha Communication Pvt Ltd,152.0
Women and Child Development,46.0
Abha Systems And Consultancy,2898.0
Asha Security Guard Services,768.0
CALANCE SOFTWARE PRIVATE LTD,408.0
Centre for e-Governance  GOK,7027.0
Department of IT  Chandigarh,94.0
E-Seva Society Surendranagar,712.0
KDS Services Private Limited,1705.0
MARS Telecom Systems Pvt Ltd,2.0
Madras Security Printers Ltd,1.0
Manipur Electronics Dev Corp,3.0
N.K. Sharma Enterprises Ltd.,1881.0
Rajkot Municipal Corporation,126.0
SVG Express Services Pvt Ltd,245.0
Seva Society Collector Kutch,1681.0
Transline Technologies P Ltd,129.0
UID e-Seva Society Ahmedabad,920.0
e-Seva Society  Chhotaudepur,447.0
Academy of Management Studies,1002.0
COMTECHINFO SOLUTIONS PVT.LTD,591.0
DATASOFT COMPUTER SERVICES(P),1672.0
Department of IT  Govt. of HP,853.0
District E-Seva Society Surat,240.0
District IT Society Faridabad,168.0
District IT Society Fatehabad,29.0
District IT Society Panchkula,78.0
District e-Seva Society Botad,286.0
Eagle Software India Pvt. Ltd,1211.0
FINANCIAL INFORMATION NETWORK,5626.0
Indotech Engineering Products,2965.0
Integrated Systems & Services,1.0
Jilla E-Seva Society Vadodara,43.0
Mahanagar Seva Sadan Vadodara,156.0
OSWAL COMPUTERS & CONSULTANTS,872.0
Silver Touch Technologies Ltd,91.0
Steel City Securities Limited,841.0
Bhartiya Manav Kalyan Parishad,11.0
COMTECH INSTITUTE OFTECHNOLOGY,136.0
Clairvoyance Technologies Pvt.,9.0
DEVASHISH SECURITIES PVT. LTD.,4.0
Deputy Commissioner  Lawngtlai,714.0
In Media Computer Services LLP,117.0
Jeevan Deep Charitable Society,211.0
Karvy Computershare Private Li,36.0
Karvy Data Management Services,8086.0
M/s Smit Advertisers Pvt. Ltd.,27.0
MANTRA SOFTTECH (INDIA) PVTLTD,237.0
Munish Kumar Bansal Contractor,515.0
Quick Data IT Services Pvt Ltd,1.0
SHRIKRISHNA KHANDASARI SUGAR M,1.0
SREI INFRASTRUCTURE FINANCES L,26497.0
VISION COMPTECH INTEGRATOR LTD,1501.0
District E-Seva Society Mehsana,73.0
District E-Seva Society Navsari,1147.0
District IT Society Kurukshetra,51.0
E Seva Society UID Kheda Nadiad,1103.0
E-Seva Society Narmada Rajpipla,15.0
Municipal Corporation Ahmedabad,666.0
Nielsen  India  Private Limited,15993.0
Ojus Healthcare Private Limited,198.0
District IT Society Mahendragarh,145.0
District IT Society Yamuna Nagar,89.0
Jilla E-Seva Society Sabarkantha,1102.0
Jilla E-seva Society Banaskantha,1409.0
Jilla e-SEVA society Gir Somnath,144.0
M/S King Computer System pvt Ltd,93.0
Make India Smart Private Limited,3951.0
Planning and Research Department,1.0
Atalji Janasnehi Directorate  GOK,1369.0
Bhaswa Computer Science Pvt. Ltd.,206.0
Municipal Corporation Gandhinagar,26.0
Techno Bytes Information Pvt. Ltd,3586.0
Care Educational & Welfare Society,331.0
Corporate India Facilities Pvt Ltd,140.0
Network for Information & Computer,1849.0
Punjab State e- Governance Society,24.0
RBS multisolutions private limited,1949.0
Synapses Solutions Private Limited,2843.0
United Telecoms e-Services Pvt Ltd,27.0
District E-Seva Society Gandhinagar,741.0
Late Smt. Nirmala Singh Seva Samiti,866.0
Radiant Haroti Industries India Ltd,1801.0
Sri Ramraja Sarkar Lok Kalyan Trust,2642.0
Orion Security Solutions Private Ltd,292.0
Sanghavi Computer Centre Private Ltd,48.0
Squaria Global India Private Limited,1368.0
UNITED DATA SERVICES PRIVATE LIMITED,0.0
A I Soc for Electronics and Comp Tech,7041.0
Apnatech Consultancy Services Pvt Ltd,342.0
